solar,hum,rain,press,temp,count
2.832,87.7,0.0,1015.0,10.74,3.204171779141104
3.09,89.7,0.0,1015.0,10.38,3.2466996699669965
2.388,88.7,0.0,1015.0,10.78,3.3167718912983806
3.089,88.2,0.0,1015.0,10.66,3.1998361998362
2.928,89.7,0.0,1015.0,10.55,3.291034482758621
2.654,90.9,0.0,1015.0,10.46,3.194712200495731
2.764,91.4,0.0,1016.0,10.37,3.190580503833516
3.326,90.7,0.0,1016.0,9.84,3.1620727673649394
3.702,91.8,0.0,1016.0,8.93,3.240801757276222
3.538,91.8,0.0,1016.0,7.525,3.200826446280992
2.639,92.6,0.0,1016.0,6.949,3.214207350521119
3.627,92.4,0.0,1016.0,6.386,3.2156063077759653
2.718,91.5,0.0,1016.0,6.24,3.2193512919186364
2.617,91.2,0.0,1017.0,6.328,3.2228948816730876
2.599,89.5,0.0,1017.0,6.701,3.2206934507429827
6.679,87.7,0.0,1017.0,7.079,3.2449710664094793
141.2,85.8,0.0,1017.0,8.1,3.1582694414019716
158.5,74.8,0.0,1017.0,9.43,3.198682766190999
237.4,68.82,0.0,1017.0,9.96,3.1798855273916597
271.7,76.5,0.0,1017.0,9.91,3.2852035203520353
256.5,73.59,0.0,1017.0,10.16,3.212513781697905
181.9,70.74,0.0,1018.0,10.61,3.220879120879121
97.5,77.18,0.0,1018.0,9.91,3.208573784006595
17.65,82.3,0.0,1018.0,9.04,3.1776315789473686
3.295,83.0,0.0,1017.0,8.58,3.207702888583219
3.589,80.4,0.0,1018.0,8.47,3.2133077765607885
3.343,82.1,0.0,1018.0,7.765,3.244141689373297
2.925,81.4,0.0,1019.0,7.782,3.1863848476530334
2.952,84.6,0.0,1019.0,7.488,3.209975199779554
2.224,80.1,0.0,1019.0,7.531,3.1797691039032436
2.622,83.9,0.0,1018.0,7.232,3.1744154057771663
2.698,83.7,0.0,1018.0,7.223,3.12551724137931
2.638,82.0,0.0,1018.0,7.26,3.1997233748271094
2.837,82.4,0.0,1018.0,7.298,3.179149519890261
3.152,83.8,0.0,1018.0,7.44,3.185944763467323
2.579,82.9,0.0,1019.0,7.374,3.182018146824306
2.658,82.9,0.0,1019.0,7.441,3.188767123287671
2.862,81.8,0.0,1019.0,7.606,3.191777041942605
3.249,83.3,0.0,1020.0,7.037,3.1872070581748
7.156,81.9,0.0,1019.0,7.227,3.2289887021217965
64.88,79.63,0.0,1021.0,7.309,3.1932819383259914
151.1,70.57,0.0,1020.0,9.08,3.1972714870395635
239.0,76.08,0.0,1021.0,9.33,3.2339020363236104
264.7,73.96,0.0,1021.0,9.68,3.180071369750206
253.6,73.35,0.0,1021.0,9.7,3.192963166575041
187.5,69.11,0.0,1020.0,10.35,3.1878604778906894
94.2,67.82,0.0,1020.0,9.9,3.207152682255846
15.17,69.29,0.0,1020.0,8.43,3.217761891668958
2.693,75.82,0.0,1020.0,7.814,3.1871216290588884
2.874,75.52,0.0,1020.0,7.948,3.22912674514098
4.101,83.1,0.0,1020.0,6.376,3.1689986282578877
2.781,67.88,0.0,1020.0,6.268,3.177392739273927
1.657,72.83,0.0,1020.0,7.015,3.2832830085094704
4.578,83.0,0.0,1020.0,5.888,3.210627225417694
3.349,87.7,0.0,1019.0,4.299,3.15734649122807
3.941,86.9,0.0,1020.0,5.053,3.21068576149821
